time,mode
1856,-1.74666666984558
1857,0.370000004768372
1858,1.74333333969116
1859,2.70666670799255
1860,0.183333337306976
1861,-0.633333384990692
1862,-0.536666691303253
1863,2.38000011444092
1864,1.31000006198883
1865,-0.346666663885117
1866,1.77666664123535
1867,1.20000004768372
1868,1.62000000476837
1869,3.0533332824707
1870,-0.783333361148834
1871,-0.379999965429306
1872,0.473333328962326
1873,0.463333308696747
1874,1.87999999523163
1875,-0.509999990463257
1876,0.643333315849304
1877,1.07333338260651
1878,1.84666669368744
1879,-1.05666661262512
1880,0.973333299160004
1881,-1.56666660308838
1882,3.01333332061768
1883,1.4099999666214
1884,1.90333330631256
1885,0.410000026226044
1886,-0.60999995470047
1887,1.35000002384186
1888,-1.22000002861023
1889,0.566666662693024
1890,1.75
1891,0.109999984502792
1892,-0.0400000400841236
1893,-0.0400000028312206
1894,2.40333342552185
1895,-1.93666660785675
1896,0.706666648387909
1897,0.939999997615814
1898,1.74000000953674
1899,1.21666669845581
1900,-0.616666615009308
1901,0.633333384990692
1902,-0.456666678190231
1903,2.47000002861023
1904,0.786666691303253
1905,1.59333324432373
1906,1.91666674613953
1907,0.943333327770233
1908,1.26666665077209
1909,0.916666686534882
1910,1.9799998998642
1911,0.923333287239075
1912,0.646666646003723
1913,2.00666666030884
1914,1.42000007629395
1915,1.37666666507721
1916,1.73333334922791
1917,-2.15666675567627
1918,0.196666643023491
1919,0.606666624546051
1920,2.36333322525024
1921,0.936666667461395
1922,1.9300000667572
1923,2.02666664123535
1924,0.163333341479301
1925,3.34666657447815
1926,0.939999997615814
1927,0.910000026226044
1928,1.13999998569489
1929,-0.183333322405815
1930,1.5699999332428
1931,0.803333342075348
1932,0.310000032186508
1933,0.273333340883255
1934,0.639999985694885
1935,1.17333340644836
1936,-1.67666673660278
1937,2.08333325386047
1938,0.716666698455811
1939,0.610000014305115
1940,-1.42333340644836
1941,-0.819999992847443
1942,-0.303333282470703
1943,1.80666661262512
1944,0.550000011920929
1945,0.93666672706604
1946,0.716666638851166
1947,-0.996666610240936
1948,0.489999979734421
1949,2.20000004768372
1950,1.32333326339722
1951,-0.0433333329856396
1952,1.20333337783813
1953,0.0700000077486038
1954,0.273333340883255
1955,-0.646666646003723
1956,-1.07000005245209
1957,2.05999994277954
1958,0.0733333379030228
1959,-0.129999995231628
1960,0.0933333411812782
1961,1.99333333969116
1962,0.496666669845581
1963,-2.21666669845581
1964,-0.763333320617676
1965,-1.41999995708466
1966,-0.0499999932944775
1967,1.13999998569489
1968,-0.136666655540466
1969,-2.17666673660278
1970,-0.106666646897793
1971,-0.266666680574417
1972,0.013333335518837
1973,1.56666660308838
1974,0.926666676998138
1975,1.96333336830139
1976,0.15666663646698
1977,-1.90333330631256
1978,-0.59333336353302
1979,-1.97333335876465
1980,0.323333323001862
1981,1.19666659832001
1982,-0.223333358764648
1983,2.07000017166138
1984,1.6966667175293
1985,-0.529999971389771
1986,-0.996666669845581
1987,0.353333413600922
1988,-0.13000001013279
1989,2.99666666984558
1990,2.1266667842865
1991,0.730000019073486
1992,1.68666672706604
1993,1.41000008583069
1994,1.17333340644836
1995,2.89666676521301
1996,-2.24000000953674
1997,-0.46333321928978
1998,0.653333365917206
1999,1.54999995231628
2000,2.28333330154419
2001,-0.439999997615814
2002,1.02333331108093
2003,0.170000001788139
2004,-0.626666665077209
2005,0.280000001192093
2006,-0.716666698455811
2007,1.75666666030884
2008,1.69999992847443
2009,-0.466666638851166
2010,-3.11666679382324
2011,-1.0699999332428
2012,2.17666673660278
